,c1,c2,c3,c4,c5,c6,c7,c8,c9,m,p,b
106,0,0,0,-1,-1,0,1,0,1,7,X,---OO-X-X
107,0,0,0,-1,-1,0,1,1,0,8,X,---OO-XX-
108,0,0,0,-1,-1,1,0,0,1,2,X,---OOX--X
109,0,0,0,-1,-1,1,0,1,0,8,X,---OOX-X-
110,0,0,0,-1,-1,1,1,0,0,8,X,---OOXX--
111,0,0,0,-1,1,0,0,-1,1,0,X,---OX--OX
112,0,0,0,-1,1,0,0,1,-1,1,X,---OX--XO
113,0,0,0,-1,1,0,-1,0,1,0,X,---OX-O-X
114,0,0,0,-1,1,0,-1,1,0,1,X,---OX-OX-
115,0,0,0,-1,1,0,1,0,-1,2,X,---OX-X-O
116,0,0,0,-1,1,0,1,-1,0,2,X,---OX-XO-
117,0,0,0,-1,1,-1,0,0,1,0,X,---OXO--X
118,0,0,0,-1,1,-1,0,1,0,1,X,---OXO-X-
119,0,0,0,-1,1,-1,1,0,0,2,X,---OXOX--
120,0,0,0,-1,1,1,0,0,-1,0,X,---OXX--O
121,0,0,0,-1,1,1,0,-1,0,2,X,---OXX-O-
122,0,0,0,-1,1,1,-1,0,0,0,X,---OXXO--
123,0,0,0,1,0,0,-1,-1,1,4,X,---X--OOX
124,0,0,0,1,0,0,-1,1,-1,4,X,---X--OXO
125,0,0,0,1,0,0,1,-1,-1,0,X,---X--XOO
126,0,0,0,1,0,-1,0,-1,1,0,X,---X-O-OX
127,0,0,0,1,0,-1,0,1,-1,2,X,---X-O-XO
128,0,0,0,1,0,-1,-1,0,1,0,X,---X-OO-X
129,0,0,0,1,0,-1,-1,1,0,1,X,---X-OOX-
130,0,0,0,1,0,-1,1,0,-1,0,X,---X-OX-O
131,0,0,0,1,0,-1,1,-1,0,0,X,---X-OXO-
132,0,0,0,1,0,1,0,-1,-1,4,X,---X-X-OO
133,0,0,0,1,0,1,-1,0,-1,4,X,---X-XO-O
134,0,0,0,1,0,1,-1,-1,0,4,X,---X-XOO-
135,0,0,0,1,-1,0,0,-1,1,1,X,---XO--OX
136,0,0,0,1,-1,0,0,1,-1,0,X,---XO--XO
137,0,0,0,1,-1,0,-1,0,1,2,X,---XO-O-X
138,0,0,0,1,-1,0,-1,1,0,2,X,---XO-OX-
139,0,0,0,1,-1,0,1,0,-1,0,X,---XO-X-O
140,0,0,0,1,-1,0,1,-1,0,0,X,---XO-XO-
141,0,0,0,1,-1,-1,0,0,1,6,X,---XOO--X
142,0,0,0,1,-1,-1,0,1,0,6,X,---XOO-X-
143,0,0,0,1,-1,-1,1,0,0,0,X,---XOOX--
144,0,0,0,1,-1,1,0,0,-1,0,X,---XOX--O
145,0,0,0,1,-1,1,0,-1,0,1,X,---XOX-O-
146,0,0,0,1,-1,1,-1,0,0,2,X,---XOXO--
147,0,0,0,1,1,0,0,-1,-1,5,X,---XX--OO
148,0,0,0,1,1,0,-1,0,-1,5,X,---XX-O-O
149,0,0,0,1,1,0,-1,-1,0,5,X,---XX-OO-
150,0,0,0,1,1,-1,0,0,-1,2,X,---XXO--O
151,0,0,0,1,1,-1,0,-1,0,0,X,---XXO-O-
152,0,0,0,1,1,-1,-1,0,0,1,X,---XXOO--
153,0,0,-1,0,0,0,-1,1,1,4,X,--O---OXX
154,0,0,-1,0,0,0,1,-1,1,0,X,--O---XOX
155,0,0,-1,0,0,0,1,1,-1,5,X,--O---XXO
156,0,0,-1,0,0,-1,0,1,1,6,X,--O--O-XX
157,0,0,-1,0,0,-1,1,0,1,7,X,--O--OX-X
158,0,0,-1,0,0,1,0,-1,1,4,X,--O--X-OX
159,0,0,-1,0,0,1,0,1,-1,4,X,--O--X-XO
160,0,0,-1,0,0,1,-1,0,1,4,X,--O--XO-X
161,0,0,-1,0,0,1,1,0,-1,3,X,--O--XX-O
162,0,0,-1,0,-1,0,0,1,1,6,X,--O-O--XX
163,0,0,-1,0,-1,0,1,0,1,7,X,--O-O-X-X
164,0,0,-1,0,-1,0,1,1,0,8,X,--O-O-XX-
165,0,0,-1,0,-1,1,0,0,1,6,X,--O-OX--X
166,0,0,-1,0,-1,1,0,1,0,6,X,--O-OX-X-
167,0,0,-1,0,-1,1,1,0,0,0,X,--O-OXX--
168,0,0,-1,0,1,0,0,-1,1,0,X,--O-X--OX
169,0,0,-1,0,1,0,0,1,-1,1,X,--O-X--XO
170,0,0,-1,0,1,0,-1,0,1,0,X,--O-X-O-X
171,0,0,-1,0,1,0,-1,1,0,1,X,--O-X-OX-
172,0,0,-1,0,1,0,1,0,-1,5,X,--O-X-X-O
173,0,0,-1,0,1,0,1,-1,0,0,X,--O-X-XO-
174,0,0,-1,0,1,-1,0,0,1,0,X,--O-XO--X
175,0,0,-1,0,1,-1,0,1,0,1,X,--O-XO-X-
176,0,0,-1,0,1,-1,1,0,0,8,X,--O-XOX--
177,0,0,-1,0,1,1,0,0,-1,3,X,--O-XX--O
178,0,0,-1,0,1,1,0,-1,0,3,X,--O-XX-O-
179,0,0,-1,0,1,1,-1,0,0,3,X,--O-XXO--
180,0,0,-1,-1,0,0,0,1,1,6,X,--OO---XX
181,0,0,-1,-1,0,0,1,0,1,7,X,--OO--X-X
182,0,0,-1,-1,0,1,0,0,1,0,X,--OO-X--X
183,0,0,-1,-1,1,0,0,0,1,0,X,--OOX---X
184,0,0,-1,-1,1,0,0,1,0,1,X,--OOX--X-
185,0,0,-1,-1,1,0,1,0,0,7,X,--OOX-X--
186,0,0,-1,-1,1,1,0,0,0,0,X,--OOXX---
187,0,0,-1,1,0,0,0,-1,1,0,X,--OX---OX
188,0,0,-1,1,0,0,0,1,-1,5,X,--OX---XO
189,0,0,-1,1,0,0,-1,0,1,4,X,--OX--O-X
190,0,0,-1,1,0,0,1,0,-1,0,X,--OX--X-O
191,0,0,-1,1,0,-1,0,0,1,0,X,--OX-O--X
192,0,0,-1,1,0,1,0,0,-1,4,X,--OX-X--O
193,0,0,-1,1,-1,0,0,0,1,6,X,--OXO---X
194,0,0,-1,1,-1,0,0,1,0,6,X,--OXO--X-
195,0,0,-1,1,-1,0,1,0,0,0,X,--OXO-X--
196,0,0,-1,1,-1,1,0,0,0,6,X,--OXOX---
197,0,0,-1,1,1,0,0,0,-1,5,X,--OXX---O
198,0,0,-1,1,1,0,0,-1,0,5,X,--OXX--O-
199,0,0,-1,1,1,0,-1,0,0,5,X,--OXX-O--
200,0,0,-1,1,1,-1,0,0,0,8,X,--OXXO---
201,0,0,1,0,0,0,-1,-1,1,5,X,--X---OOX
202,0,0,1,0,0,0,-1,1,-1,1,X,--X---OXO
203,0,0,1,0,0,0,1,-1,-1,4,X,--X---XOO
204,0,0,1,0,0,-1,0,-1,1,0,X,--X--O-OX
205,0,0,1,0,0,-1,0,1,-1,1,X,--X--O-XO
206,0,0,1,0,0,-1,-1,0,1,0,X,--X--OO-X
207,0,0,1,0,0,-1,1,0,-1,4,X,--X--OX-O
208,0,0,1,0,0,1,0,-1,-1,6,X,--X--X-OO
209,0,0,1,0,0,1,-1,0,-1,7,X,--X--XO-O
210,0,0,1,0,-1,0,0,-1,1,5,X,--X-O--OX
211,0,0,1,0,-1,0,0,1,-1,0,X,--X-O--XO
212,0,0,1,0,-1,0,-1,0,1,5,X,--X-O-O-X
213,0,0,1,0,-1,0,-1,1,0,0,X,--X-O-OX-
214,0,0,1,0,-1,0,1,0,-1,0,X,--X-O-X-O
215,0,0,1,0,-1,0,1,-1,0,1,X,--X-O-XO-
216,0,0,1,0,-1,-1,0,0,1,3,X,--X-OO--X
217,0,0,1,0,-1,-1,0,1,0,3,X,--X-OO-X-
218,0,0,1,0,-1,-1,1,0,0,3,X,--X-OOX--
219,0,0,1,0,-1,1,0,0,-1,0,X,--X-OX--O
220,0,0,1,0,-1,1,0,-1,0,8,X,--X-OX-O-
221,0,0,1,0,-1,1,-1,0,0,8,X,--X-OXO--
222,0,0,1,0,1,0,0,-1,-1,6,X,--X-X--OO
223,0,0,1,0,1,0,-1,0,-1,7,X,--X-X-O-O
224,0,0,1,0,1,0,-1,-1,0,8,X,--X-X-OO-
225,0,0,1,0,1,-1,0,0,-1,6,X,--X-XO--O
226,0,0,1,0,1,-1,0,-1,0,6,X,--X-XO-O-
227,0,0,1,0,1,-1,-1,0,0,0,X,--X-XOO--
228,0,0,1,-1,0,0,0,-1,1,5,X,--XO---OX
229,0,0,1,-1,0,0,0,1,-1,1,X,--XO---XO
230,0,0,1,-1,0,0,-1,0,1,5,X,--XO--O-X
231,0,0,1,-1,0,0,1,0,-1,4,X,--XO--X-O
232,0,0,1,-1,0,-1,0,0,1,4,X,--XO-O--X
233,0,0,1,-1,0,1,0,0,-1,0,X,--XO-X--O
234,0,0,1,-1,-1,0,0,0,1,5,X,--XOO---X
235,0,0,1,-1,-1,0,0,1,0,5,X,--XOO--X-
236,0,0,1,-1,-1,0,1,0,0,5,X,--XOO-X--
237,0,0,1,-1,-1,1,0,0,0,8,X,--XOOX---
238,0,0,1,-1,1,0,0,0,-1,6,X,--XOX---O
239,0,0,1,-1,1,0,0,-1,0,6,X,--XOX--O-
240,0,0,1,-1,1,0,-1,0,0,0,X,--XOX-O--
241,0,0,1,-1,1,-1,0,0,0,6,X,--XOXO---
242,0,0,1,1,0,0,0,-1,-1,6,X,--XX---OO
243,0,0,1,1,0,0,-1,0,-1,7,X,--XX--O-O
244,0,0,1,1,0,-1,0,0,-1,0,X,--XX-O--O
245,0,0,1,1,-1,0,0,0,-1,0,X,--XXO---O
246,0,0,1,1,-1,0,0,-1,0,1,X,--XXO--O-
247,0,0,1,1,-1,0,-1,0,0,0,X,--XXO-O--
248,0,0,1,1,-1,-1,0,0,0,0,X,--XXOO---
249,0,-1,0,0,0,0,-1,1,1,0,X,-O----OXX
250,0,-1,0,0,0,0,1,-1,1,4,X,-O----XOX
251,0,-1,0,0,0,0,1,1,-1,0,X,-O----XXO
252,0,-1,0,0,0,-1,0,1,1,6,X,-O---O-XX
253,0,-1,0,0,0,-1,1,0,1,7,X,-O---OX-X
254,0,-1,0,0,0,-1,1,1,0,8,X,-O---OXX-
255,0,-1,0,0,0,1,0,-1,1,2,X,-O---X-OX
256,0,-1,0,0,0,1,0,1,-1,0,X,-O---X-XO
257,0,-1,0,0,0,1,-1,0,1,2,X,-O---XO-X
258,0,-1,0,0,0,1,-1,1,0,0,X,-O---XOX-
259,0,-1,0,0,0,1,1,0,-1,3,X,-O---XX-O
260,0,-1,0,0,0,1,1,-1,0,4,X,-O---XXO-
261,0,-1,0,0,-1,0,0,1,1,6,X,-O--O--XX
262,0,-1,0,0,-1,0,1,0,1,7,X,-O--O-X-X
263,0,-1,0,0,-1,0,1,1,0,8,X,-O--O-XX-
264,0,-1,0,0,-1,1,0,0,1,2,X,-O--OX--X
265,0,-1,0,0,-1,1,0,1,0,8,X,-O--OX-X-
266,0,-1,0,0,-1,1,1,0,0,7,X,-O--OXX--
267,0,-1,0,0,1,0,0,-1,1,0,X,-O--X--OX
268,0,-1,0,0,1,0,0,1,-1,0,X,-O--X--XO
269,0,-1,0,0,1,0,-1,0,1,0,X,-O--X-O-X
270,0,-1,0,0,1,0,-1,1,0,0,X,-O--X-OX-
271,0,-1,0,0,1,0,1,0,-1,2,X,-O--X-X-O
272,0,-1,0,0,1,0,1,-1,0,2,X,-O--X-XO-
273,0,-1,0,0,1,-1,0,0,1,0,X,-O--XO--X
274,0,-1,0,0,1,-1,0,1,0,6,X,-O--XO-X-
275,0,-1,0,0,1,-1,1,0,0,2,X,-O--XOX--
276,0,-1,0,0,1,1,0,0,-1,3,X,-O--XX--O
277,0,-1,0,0,1,1,0,-1,0,3,X,-O--XX-O-
278,0,-1,0,0,1,1,-1,0,0,3,X,-O--XXO--
279,0,-1,0,-1,0,0,0,1,1,6,X,-O-O---XX
280,0,-1,0,-1,0,0,1,0,1,7,X,-O-O--X-X
281,0,-1,0,-1,0,0,1,1,0,8,X,-O-O--XX-
282,0,-1,0,-1,0,1,0,0,1,2,X,-O-O-X--X
283,0,-1,0,-1,0,1,0,1,0,8,X,-O-O-X-X-
284,0,-1,0,-1,0,1,1,0,0,2,X,-O-O-XX--
285,0,-1,0,-1,1,0,0,0,1,0,X,-O-OX---X
286,0,-1,0,-1,1,0,0,1,0,6,X,-O-OX--X-
287,0,-1,0,-1,1,0,1,0,0,2,X,-O-OX-X--
288,0,-1,0,-1,1,1,0,0,0,2,X,-O-OXX---
289,0,-1,0,1,0,0,0,-1,1,4,X,-O-X---OX
290,0,-1,0,1,0,0,0,1,-1,0,X,-O-X---XO
291,0,-1,0,1,0,0,-1,0,1,4,X,-O-X--O-X
292,0,-1,0,1,0,0,-1,1,0,0,X,-O-X--OX-
293,0,-1,0,1,0,0,1,0,-1,0,X,-O-X--X-O
294,0,-1,0,1,0,0,1,-1,0,0,X,-O-X--XO-
295,0,-1,0,1,0,-1,0,0,1,0,X,-O-X-O--X
296,0,-1,0,1,0,-1,0,1,0,6,X,-O-X-O-X-
297,0,-1,0,1,0,-1,1,0,0,0,X,-O-X-OX--
298,0,-1,0,1,0,1,0,0,-1,4,X,-O-X-X--O
299,0,-1,0,1,0,1,0,-1,0,4,X,-O-X-X-O-
300,0,-1,0,1,0,1,-1,0,0,4,X,-O-X-XO--
301,0,-1,0,1,-1,0,0,0,1,7,X,-O-XO---X
302,0,-1,0,1,-1,0,0,1,0,6,X,-O-XO--X-
303,0,-1,0,1,-1,0,1,0,0,0,X,-O-XO-X--
304,0,-1,0,1,-1,1,0,0,0,7,X,-O-XOX---
305,0,-1,0,1,1,0,0,0,-1,5,X,-O-XX---O
306,0,-1,0,1,1,0,0,-1,0,5,X,-O-XX--O-
307,0,-1,0,1,1,0,-1,0,0,5,X,-O-XX-O--
308,0,-1,0,1,1,-1,0,0,0,0,X,-O-XXO---
309,0,-1,-1,0,0,0,0,1,1,6,X,-OO----XX
310,0,-1,-1,0,0,0,1,0,1,7,X,-OO---X-X
311,0,-1,-1,0,0,1,0,0,1,0,X,-OO--X--X
312,0,-1,-1,0,1,0,0,0,1,0,X,-OO-X---X
313,0,-1,-1,0,1,0,0,1,0,0,X,-OO-X--X-
314,0,-1,-1,0,1,0,1,0,0,0,X,-OO-X-X--
315,0,-1,-1,0,1,1,0,0,0,3,X,-OO-XX---
316,0,-1,-1,1,0,0,0,0,1,0,X,-OOX----X
317,0,-1,-1,1,1,0,0,0,0,5,X,-OOXX----
318,0,-1,1,0,0,0,0,-1,1,5,X,-OX----OX
319,0,-1,1,0,0,0,0,1,-1,0,X,-OX----XO
320,0,-1,1,0,0,0,-1,0,1,5,X,-OX---O-X
321,0,-1,1,0,0,0,1,0,-1,4,X,-OX---X-O
322,0,-1,1,0,0,-1,0,0,1,4,X,-OX--O--X
323,0,-1,1,0,0,1,0,0,-1,4,X,-OX--X--O
324,0,-1,1,0,-1,0,0,0,1,5,X,-OX-O---X
325,0,-1,1,0,-1,0,0,1,0,8,X,-OX-O--X-
326,0,-1,1,0,-1,0,1,0,0,7,X,-OX-O-X--
327,0,-1,1,0,-1,1,0,0,0,8,X,-OX-OX---
328,0,-1,1,0,1,0,0,0,-1,6,X,-OX-X---O
329,0,-1,1,0,1,0,0,-1,0,6,X,-OX-X--O-
330,0,-1,1,0,1,0,-1,0,0,5,X,-OX-X-O--
331,0,-1,1,0,1,-1,0,0,0,6,X,-OX-XO---
332,0,-1,1,-1,0,0,0,0,1,5,X,-OXO----X
333,0,-1,1,-1,1,0,0,0,0,6,X,-OXOX----
334,0,-1,1,1,0,0,0,0,-1,4,X,-OXX----O
335,0,-1,1,1,-1,0,0,0,0,7,X,-OXXO----
336,0,1,0,0,0,0,-1,-1,1,0,X,-X----OOX
337,0,1,0,0,0,0,-1,1,-1,4,X,-X----OXO
338,0,1,0,0,0,0,1,-1,-1,0,X,-X----XOO
339,0,1,0,0,0,-1,0,-1,1,0,X,-X---O-OX
340,0,1,0,0,0,-1,0,1,-1,4,X,-X---O-XO
341,0,1,0,0,0,-1,-1,0,1,0,X,-X---OO-X
342,0,1,0,0,0,-1,-1,1,0,4,X,-X---OOX-
343,0,1,0,0,0,-1,1,0,-1,2,X,-X---OX-O
344,0,1,0,0,0,-1,1,-1,0,0,X,-X---OXO-
345,0,1,0,0,0,1,0,-1,-1,6,X,-X---X-OO
346,0,1,0,0,0,1,-1,0,-1,7,X,-X---XO-O
347,0,1,0,0,0,1,-1,-1,0,8,X,-X---XOO-
348,0,1,0,0,-1,0,0,-1,1,2,X,-X--O--OX
349,0,1,0,0,-1,0,0,1,-1,0,X,-X--O--XO
350,0,1,0,0,-1,0,-1,0,1,2,X,-X--O-O-X
351,0,1,0,0,-1,0,-1,1,0,2,X,-X--O-OX-
352,0,1,0,0,-1,0,1,0,-1,0,X,-X--O-X-O
353,0,1,0,0,-1,0,1,-1,0,0,X,-X--O-XO-
354,0,1,0,0,-1,-1,0,0,1,3,X,-X--OO--X
355,0,1,0,0,-1,-1,0,1,0,3,X,-X--OO-X-
356,0,1,0,0,-1,-1,1,0,0,3,X,-X--OOX--
357,0,1,0,0,-1,1,0,0,-1,0,X,-X--OX--O
358,0,1,0,0,-1,1,0,-1,0,2,X,-X--OX-O-
359,0,1,0,0,-1,1,-1,0,0,2,X,-X--OXO--
360,0,1,0,0,1,0,0,-1,-1,6,X,-X--X--OO
361,0,1,0,0,1,0,-1,0,-1,7,X,-X--X-O-O
362,0,1,0,0,1,0,-1,-1,0,8,X,-X--X-OO-
363,0,1,0,0,1,-1,0,0,-1,7,X,-X--XO--O
364,0,1,0,0,1,-1,0,-1,0,0,X,-X--XO-O-
365,0,1,0,0,1,-1,-1,0,0,7,X,-X--XOO--
366,0,1,0,-1,0,0,0,-1,1,0,X,-X-O---OX
367,0,1,0,-1,0,0,0,1,-1,4,X,-X-O---XO
368,0,1,0,-1,0,0,-1,0,1,0,X,-X-O--O-X
369,0,1,0,-1,0,0,-1,1,0,4,X,-X-O--OX-
370,0,1,0,-1,0,0,1,0,-1,2,X,-X-O--X-O
371,0,1,0,-1,0,0,1,-1,0,2,X,-X-O--XO-
372,0,1,0,-1,0,-1,0,0,1,4,X,-X-O-O--X
373,0,1,0,-1,0,-1,0,1,0,4,X,-X-O-O-X-
374,0,1,0,-1,0,-1,1,0,0,4,X,-X-O-OX--
375,0,1,0,-1,0,1,0,0,-1,0,X,-X-O-X--O
376,0,1,0,-1,0,1,0,-1,0,2,X,-X-O-X-O-
377,0,1,0,-1,0,1,-1,0,0,0,X,-X-O-XO--
378,0,1,0,-1,-1,0,0,0,1,5,X,-X-OO---X
379,0,1,0,-1,-1,0,0,1,0,5,X,-X-OO--X-
380,0,1,0,-1,-1,0,1,0,0,5,X,-X-OO-X--
381,0,1,0,-1,-1,1,0,0,0,2,X,-X-OOX---
382,0,1,0,-1,1,0,0,0,-1,7,X,-X-OX---O
383,0,1,0,-1,1,0,0,-1,0,0,X,-X-OX--O-
384,0,1,0,-1,1,0,-1,0,0,7,X,-X-OX-O--
385,0,1,0,-1,1,-1,0,0,0,7,X,-X-OXO---
386,0,1,0,1,0,0,0,-1,-1,6,X,-X-X---OO
387,0,1,0,1,0,0,-1,0,-1,7,X,-X-X--O-O
388,0,1,0,1,0,0,-1,-1,0,8,X,-X-X--OO-
389,0,1,0,1,0,-1,0,0,-1,2,X,-X-X-O--O
390,0,1,0,1,0,-1,0,-1,0,0,X,-X-X-O-O-
391,0,1,0,1,0,-1,-1,0,0,2,X,-X-X-OO--
392,0,1,0,1,-1,0,0,0,-1,0,X,-X-XO---O
393,0,1,0,1,-1,0,0,-1,0,0,X,-X-XO--O-
394,0,1,0,1,-1,0,-1,0,0,2,X,-X-XO-O--
395,0,1,0,1,-1,-1,0,0,0,0,X,-X-XOO---
396,0,1,-1,0,0,0,0,-1,1,0,X,-XO----OX
397,0,1,-1,0,0,0,0,1,-1,4,X,-XO----XO
398,0,1,-1,0,0,0,-1,0,1,4,X,-XO---O-X
399,0,1,-1,0,0,0,1,0,-1,5,X,-XO---X-O
400,0,1,-1,0,0,-1,0,0,1,4,X,-XO--O--X
401,0,1,-1,0,0,1,0,0,-1,4,X,-XO--X--O
402,0,1,-1,0,-1,0,0,0,1,6,X,-XO-O---X
403,0,1,-1,0,-1,0,0,1,0,6,X,-XO-O--X-
404,0,1,-1,0,-1,0,1,0,0,0,X,-XO-O-X--
405,0,1,-1,0,-1,1,0,0,0,6,X,-XO-OX---
406,0,1,-1,0,1,0,0,0,-1,7,X,-XO-X---O
407,0,1,-1,0,1,0,0,-1,0,3,X,-XO-X--O-
408,0,1,-1,0,1,0,-1,0,0,7,X,-XO-X-O--
409,0,1,-1,0,1,-1,0,0,0,7,X,-XO-XO---
410,0,1,-1,-1,0,0,0,0,1,4,X,-XOO----X
411,0,1,-1,-1,1,0,0,0,0,7,X,-XOOX----
412,0,1,-1,1,0,0,0,0,-1,5,X,-XOX----O
413,0,1,-1,1,-1,0,0,0,0,6,X,-XOXO----
414,0,1,1,0,0,0,0,-1,-1,0,X,-XX----OO
415,0,1,1,0,0,0,-1,0,-1,0,X,-XX---O-O
